# =====================================================================
# data/efficacy.csv — Populated from IPM-0028A (2026), Tables 2 and 3.
#
# Long format: one row per (product, weed) rating.
#   rating: E | G | F | P | —    (Excellent / Good / Fair / Poor / no data)
#   scenario: optional qualifier
#
# Where Table 3 lists a hyphenated rating like "G-E", we encode the
# lower value (G-E -> G; F-G -> F) to be conservative on coverage claims.
# Where the original table shows "—" (no data), we omit the row so the
# scorer treats it as 0.
#
# Coverage scope of this file:
#   - All broadleaf weeds in Table 3 for the 18 herbicide columns shown
#   - Key grass weeds in Table 2 (legume forage and perennial-grass scenarios)
#     (perennial grass scenario)
# Lines starting with # are ignored.
# =====================================================================
unique_id,weed_id,rating,scenario
# ---- BROADLEAVES from Table 3 (established forage stands) ----
# 2,4-D Amine = IPM-006
IPM-006,spiny_amaranth,F,
IPM-006,bitterweed,F,
IPM-006,buttercup,G,
IPM-006,wooly_croton,G,
IPM-006,curly_dock,E,
IPM-006,dogfennel,F,
IPM-006,goldenrod,F,
IPM-006,henbit,F,
IPM-006,horsenettle,F,
IPM-006,horseweed,G,
IPM-006,ironweed,F,
IPM-006,jimsonweed,F,
IPM-006,perilla_mint,G,
IPM-006,pigweed,F,
IPM-006,plantain,G,
IPM-006,ragweed,E,
IPM-006,prickly_sida,F,
IPM-006,smartweed,F,
IPM-006,thistle,F,
IPM-006,blue_vervain,G,
IPM-006,wild_garlic,G,
IPM-006,wild_mustard,G,
# Banvel/Clarity (dicamba) — IPM-002 (new estab) and IPM-011 (estab POST). Apply same row to both.
IPM-002,spiny_amaranth,G,
IPM-002,bitterweed,E,
IPM-002,buttercup,E,
IPM-002,wooly_croton,E,
IPM-002,curly_dock,E,
IPM-002,dogfennel,G,
IPM-002,goldenrod,G,
IPM-002,horsenettle,F,
IPM-002,horseweed,E,
IPM-002,ironweed,G,
IPM-002,jimsonweed,F,
IPM-002,lambsquarters,G,
IPM-002,perilla_mint,G,
IPM-002,pigweed,E,
IPM-002,prickly_sida,G,
IPM-002,ragweed,E,
IPM-002,red_sorrel,G,
IPM-002,multiflora_rose,G,
IPM-002,smartweed,G,
IPM-002,thistle,G,
IPM-002,wild_garlic,G,
IPM-011,spiny_amaranth,G,
IPM-011,bitterweed,E,
IPM-011,buttercup,E,
IPM-011,wooly_croton,E,
IPM-011,curly_dock,E,
IPM-011,dogfennel,G,
IPM-011,goldenrod,G,
IPM-011,horsenettle,F,
IPM-011,horseweed,E,
IPM-011,ironweed,G,
IPM-011,jimsonweed,F,
IPM-011,lambsquarters,G,
IPM-011,perilla_mint,G,
IPM-011,pigweed,E,
IPM-011,prickly_sida,G,
IPM-011,ragweed,E,
IPM-011,red_sorrel,G,
IPM-011,multiflora_rose,G,
IPM-011,smartweed,G,
IPM-011,thistle,G,
IPM-011,wild_garlic,G,
# Chaparral = IPM-009
IPM-009,spiny_amaranth,G,
IPM-009,blackberry,G,
IPM-009,buttercup,G,
IPM-009,cherokee_rose,F,
IPM-009,wooly_croton,E,
IPM-009,curly_dock,E,
IPM-009,dogfennel,P,
IPM-009,ground_cherry,E,
IPM-009,henbit,E,
IPM-009,horsenettle,E,
IPM-009,horseweed,E,
IPM-009,ironweed,G,
IPM-009,jimsonweed,G,
IPM-009,lambsquarters,E,
IPM-009,multiflora_rose,G,
